protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
NP_055726.3	11.326860364879757	-6.831837739235544	6.046598305214324	-11.832131035036968	-9.351674788722535	-3.450839001804681	-3.5520435723172565	-0.13914788542505369	1.7504287287591267	-2.7138677387507912	
NP_005148.2	17.232436478374737	-11.906534662651545	5.265307094903266	2.0502644903228955	-1.6314745074886179	1.5600305140720148	0.7148766558994127	1.9917992216431095	-1.5100088183994547	-1.6389039558194682	
NP_005149.3	15.831135293540989	-12.66980749668642	4.789562147982403	-2.8567444294317053	-2.520691707996972	-2.959315374210061	0.14144887698376626	2.629433028985867	0.3040990079763474	-1.5752940753586862	
NP_001096.1	-10.4752091852819	-1.1198586108012247	0.9441756733300556	-0.15164071381229663	-0.6025535217335437	2.856135834990003	1.3398028792876575	-2.5919238938362965	-0.4900569512684381	-1.1347782193581906	
NP_004293.1	-13.366038511061324	0.24316972962501926	-2.3368323223743594	4.471286293460866	0.8842536117339699	0.46357383846408323	0.36050377642456205	1.3042960348691548	2.9685958626542317	1.4373825554076043	
NP_001607.1	-12.088280305159124	-2.1269337861105404	-1.3097826638693424	3.503553524887608	2.228482049858803	-5.63346842956542	-0.5812268720549748	1.0300521356970427	-0.5246804569786947	-0.6718972291455255	
NP_001097.2	-9.18125192384059	0.6344967547484301	-1.0511751654684975	-3.9732231719291526	1.4894057520528896	-2.535155307272908	1.8270833174876373	3.1676180226670345	-0.3380930239020747	-2.0444381533449847	
NP_000011.1	-10.733641042551747	1.9641632294689286	1.7712794662115057	-2.491403988384435	-1.3359404482217099	4.322604349342987	-3.691652018229062	-2.3506954107976945	-1.195674277057176	-2.336811955577885	
NP_064632.2	-6.0596373374687635	-3.6315491521828545	-0.9557498519585856	-2.3667733539355424	0.8775996702983239	2.4262921569320253	-1.7416526617957104	0.6932790189031142	0.8180293736445637	0.2914128617654959	
NP_079152.3	-9.743425466854676	0.8915159553874167	1.1222741320170817	-4.611357215238435	-1.3134734731304614	-3.8761642084621464	4.554176583089438	-0.3571260633308121	2.400973602423512	-0.7620277862466659	
NP_005154.2	-10.708167516288507	7.120928834755607	2.545680446398224	1.0220388546885153	-2.2761203913005073	-2.084230592836152	-1.7022064636019139	1.4869368146701607	-0.604782930700346	2.1464818030229798	
NP_001617.1	-13.382468114627963	2.463947333188098	-4.719294360633217	-0.22219665526110088	1.704747301615209	0.8245775397786598	1.403324926164647	-1.8931921152540883	-3.376971295173081	1.6677009970309165	
NP_005456.1	-12.661381871479168	2.428554058239086	0.5763467506447351	-2.0811361614283377	3.026291665737762	0.18938686412747435	0.38443353588510243	-2.1612117769337287	-0.8567393603650713	3.2249225823455197	
NP_004295.2	31.742103344633236	-15.546504363370586	-3.6343691007823646	-1.1937714864136595	2.293219487073688	-5.056408580104271	7.313877451597072	3.3467597557426085	2.367785168936562	-0.9574203479116882	
